PatientID,FirstName,LastName,MiddleName,SSN,PhoneNumber,Gender,DOB,Address,ModifiedDate,HospitalName,age,age_group,is_minor
HOSP_A_HOSP1-000001,Rick,Russo,U,188-23-9828,2975850769,Female,1937-06-04,"Unit 0915 Box 7064, Dpo Aa 82777",2020-05-25,Hospital A,88,Senior,False
HOSP_A_HOSP1-000002,Gregory,Graham,B,730-45-8217,6728969233,Female,1937-06-10,"9864 Gibson Islands, Danielside, Ky 99809",2021-06-05,Hospital A,88,Senior,False
HOSP_A_HOSP1-000003,Mary,Ryan,H,348-14-7947,5225015461,Female,1926-08-09,"6194 Joseph Turnpike, North Juan, Oh 46800",2024-09-06,Hospital A,98,Senior,False
HOSP_A_HOSP1-000004,Daniel,Brown,D,013-38-1645,3456089409,Male,1971-10-23,"780 Conrad Isle, Pricebury, Ks 61167",2022-04-07,Hospital A,53,Adult,False
HOSP_A_HOSP1-000005,Brad,Carroll,M,461-53-6290,9429696232,Male,1927-10-18,"3167 Hall Burg, Tannertown, Il 03017",2022-06-19,Hospital A,97,Senior,False
HOSP_A_HOSP1-000006,Melissa,Lester,Y,359-88-6883,0309795946,Female,1994-03-22,"542 Rogers Divide, South Amy, Ri 23000",2022-09-24,Hospital A,31,Adult,False
HOSP_A_HOSP1-000007,Stephanie,Griffin,Q,879-32-6527,5389920867,Male,1957-03-10,"3952 Le Highway, Frenchbury, Sc 21179",2021-06-16,Hospital A,68,Senior,False
HOSP_A_HOSP1-000008,Sandra,Holt,L,148-25-8251,3352295080,Female,2024-07-31,"5102 Thompson Locks Suite 182, Port Jenniferborough, Nc 93111",2020-03-23,Hospital A,1,Child,True
HOSP_A_HOSP1-000009,Austin,Cline,H,219-06-7294,6553369486,Male,2001-11-16,"465 Flores Forest, Port Paul, Nj 44109",2024-05-22,Hospital A,23,Adult,False
HOSP_A_HOSP1-000010,Ryan,Hall,A,425-22-5742,7071206023,Female,1983-05-06,"915 Joseph Walks Suite 592, Rhodesberg, Fl 43049",2020-01-07,Hospital A,42,Adult,False
HOSP_A_HOSP1-000011,Catherine,Campbell,S,168-04-0477,6725501528,Female,1957-05-15,"241 Elizabeth Causeway Suite 098, Garzaport, Ne 22393",2024-07-07,Hospital A,68,Senior,False
HOSP_A_HOSP1-000012,Alison,Kelley,O,062-39-3003,5881663638,Female,1987-09-29,"Unit 8779 Box 9530, Dpo Ae 85117",2022-08-02,Hospital A,37,Adult,False
HOSP_A_HOSP1-000013,Jessica,Hill,A,751-29-5160,9557593792,Male,1940-04-04,"482 William Ridges, Jenniferville, Mt 89133",2022-12-13,Hospital A,85,Senior,False
HOSP_A_HOSP1-000014,Anthony,Shannon,U,849-01-2096,2070749171,Female,1978-10-22,"3216 Mary Corners Apt. 089, New Maryfort, Me 46780",2023-05-15,Hospital A,46,Adult,False
HOSP_A_HOSP1-000015,Shane,Burton,Y,385-57-3457,3313331918,Female,1981-11-16,"91333 Brown Gateway Apt. 757, Smithstad, Sd 19534",2021-04-09,Hospital A,43,Adult,False
HOSP_A_HOSP1-000016,Amanda,Villa,W,142-70-0521,6402597794,Female,1928-04-29,"7826 Bryan Hills Suite 545, West Lauraville, Pw 58431",2022-04-01,Hospital A,97,Senior,False
HOSP_A_HOSP1-000017,Victor,Novak,W,724-17-4374,3511010083,Male,2011-02-15,"18016 Juan Mountains Apt. 095, Carlashire, Hi 14542",2021-10-14,Hospital A,14,Child,True
HOSP_A_HOSP1-000018,Brianna,Perez,U,123-43-4444,5739977888,Male,1971-07-19,"962 Mejia Mountains, Tammyberg, Nv 09909",2020-01-28,Hospital A,54,Adult,False
