PatientID,FirstName,LastName,MiddleName,SSN,PhoneNumber,Gender,DOB,Address,ModifiedDate,HospitalName,age,age_group,is_minor
HOSP_A_HOSP1-000001,Rick,Russo,U,188-23-9828,+1-630-829-7585x0769,Female,1937-06-04,"Unit 0915 Box 7064, DPO AA 82777",2020-05-25,Hospital A,88,Senior,False
HOSP_A_HOSP1-000002,Gregory,Graham,B,730-45-8217,456.746.7289x69233,Female,1937-06-10,"9864 Gibson Islands, Danielside, KY 99809",2021-06-05,Hospital A,88,Senior,False
HOSP_A_HOSP1-000003,Mary,Ryan,H,348-14-7947,522-501-5461,Female,1926-08-09,"6194 Joseph Turnpike, North Juan, OH 46800",2024-09-06,Hospital A,98,Senior,False
HOSP_A_HOSP1-000004,Daniel,Brown,D,013-38-1645,+1-345-608-9409,Male,1971-10-23,"780 Conrad Isle, Pricebury, KS 61167",2022-04-07,Hospital A,53,Adult,False
HOSP_A_HOSP1-000005,Brad,Carroll,M,461-53-6290,963.994.2969x6232,Male,1927-10-18,"3167 Hall Burg, Tannertown, IL 03017",2022-06-19,Hospital A,97,Senior,False
HOSP_A_HOSP1-000006,Melissa,Lester,Y,359-88-6883,511-940-3097x95946,Female,1994-03-22,"542 Rogers Divide, South Amy, RI 23000",2022-09-24,Hospital A,31,Adult,False
HOSP_A_HOSP1-000007,Stephanie,Griffin,Q,879-32-6527,313.753.8992x0867,Male,1957-03-10,"3952 Le Highway, Frenchbury, SC 21179",2021-06-16,Hospital A,68,Senior,False
HOSP_A_HOSP1-000008,Sandra,Holt,L,148-25-8251,+1-335-229-5080,Female,2024-07-31,"5102 Thompson Locks Suite 182, Port Jenniferborough, NC 93111",2020-03-23,Hospital A,1,Child,True
HOSP_A_HOSP1-000009,Austin,Cline,H,219-06-7294,001-899-655-3369x486,Male,2001-11-16,"465 Flores Forest, Port Paul, NJ 44109",2024-05-22,Hospital A,23,Adult,False
HOSP_A_HOSP1-000010,Ryan,Hall,A,425-22-5742,(962)707-1206x023,Female,1983-05-06,"915 Joseph Walks Suite 592, Rhodesberg, FL 43049",2020-01-07,Hospital A,42,Adult,False
HOSP_A_HOSP1-000011,Catherine,Campbell,S,168-04-0477,6725501528,Female,1957-05-15,"241 Elizabeth Causeway Suite 098, Garzaport, NE 22393",2024-07-07,Hospital A,68,Senior,False
HOSP_A_HOSP1-000012,Alison,Kelley,O,062-39-3003,001-883-858-8166x3638,Female,1987-09-29,"Unit 8779 Box 9530, DPO AE 85117",2022-08-02,Hospital A,37,Adult,False
HOSP_A_HOSP1-000013,Jessica,Hill,A,751-29-5160,955-759-3792,Male,1940-04-04,"482 William Ridges, Jenniferville, MT 89133",2022-12-13,Hospital A,85,Senior,False
HOSP_A_HOSP1-000014,Anthony,Shannon,U,849-01-2096,(866)772-0707x49171,Female,1978-10-22,"3216 Mary Corners Apt. 089, New Maryfort, ME 46780",2023-05-15,Hospital A,46,Adult,False
HOSP_A_HOSP1-000015,Shane,Burton,Y,385-57-3457,(331)333-1918,Female,1981-11-16,"91333 Brown Gateway Apt. 757, Smithstad, SD 19534",2021-04-09,Hospital A,43,Adult,False
HOSP_A_HOSP1-000016,Amanda,Villa,W,142-70-0521,+1-640-259-7794,Female,1928-04-29,"7826 Bryan Hills Suite 545, West Lauraville, PW 58431",2022-04-01,Hospital A,97,Senior,False
HOSP_A_HOSP1-000017,Victor,Novak,W,724-17-4374,+1-876-633-5110x10083,Male,2011-02-15,"18016 Juan Mountains Apt. 095, Carlashire, HI 14542",2021-10-14,Hospital A,14,Child,True
HOSP_A_HOSP1-000018,Brianna,Perez,U,123-43-4444,954-573-9977x888,Male,1971-07-19,"962 Mejia Mountains, Tammyberg, NV 09909",2020-01-28,Hospital A,54,Adult,False
HOSP_A_HOSP1-000019,Eric,Morton,Z,211-64-0672,7027814559,Female,1937-09-12,"8128 Anna Center Suite 783, New Christopher, ME 71397",2021-12-20,Hospital A,87,Senior,False
HOSP_A_HOSP1-000020,Brian,Jensen,B,464-59-3213,605.883.9645x522,Female,1965-10-15,"98364 Pruitt Pines Apt. 285, Carlytown, AL 51078",2023-01-14,Hospital A,59,Adult,False
HOSP_A_HOSP1-000021,Samantha,Green,Z,462-35-0443,+1-497-208-1700x0939,Female,1976-05-01,"Unit 0825 Box 5053, DPO AP 23718",2023-05-04,Hospital A,49,Adult,False
HOSP_A_HOSP1-000022,Rebecca,King,M,881-70-2301,(423)405-8208,Male,1940-10-21,"1568 Johnston Wells, New Lisafort, MD 85830",2021-08-16,Hospital A,84,Senior,False
HOSP_A_HOSP1-000023,Lisa,Hill,E,143-48-3128,7022700554,Female,2008-11-20,"634 Christopher Courts Apt. 117, North Melissa, AR 56934",2023-12-25,Hospital A,16,Child,True
HOSP_A_HOSP1-000024,Wayne,Peterson,H,596-01-0564,911.416.6538x4991,Male,2005-01-08,"25003 Whitehead Brook Apt. 734, West Lindaside, RI 94300",2024-02-14,Hospital A,20,Adult,False
HOSP_A_HOSP1-000025,George,Evans,G,473-97-8698,642.478.1012x23091,Male,2015-03-14,"27278 Kirby Mountain Suite 151, Jamesstad, NE 86586",2020-07-28,Hospital A,10,Child,True
HOSP_A_HOSP1-000026,Nathaniel,Casey,P,757-42-1536,240-712-5654,Female,2016-08-29,"63238 Hudson Ways, Floresfurt, UT 38826",2023-02-09,Hospital A,8,Child,True
HOSP_A_HOSP1-000027,Melinda,Norman,R,002-05-9417,001-850-446-2147x15040,Female,2023-11-29,"847 Orozco Orchard, Port Rebeccahaven, ME 64199",2023-02-27,Hospital A,1,Child,True
HOSP_A_HOSP1-000028,Nicole,Hanson,S,229-63-6472,957.880.5800x504,Male,2014-01-02,"024 Justin Fields, Wileyland, UT 55414",2024-08-06,Hospital A,11,Child,True
HOSP_A_HOSP1-000029,Ryan,Young,X,094-17-8058,578-397-6155x50822,Female,1955-03-08,"4116 Conway Throughway, Pattersonmouth, CA 58742",2022-08-21,Hospital A,70,Senior,False
HOSP_A_HOSP1-000030,Laura,Decker,D,427-58-3832,(293)628-7164,Male,1933-03-11,"53006 Hawkins Parks Apt. 433, Adamtown, MT 12954",2024-08-27,Hospital A,92,Senior,False
HOSP_A_HOSP1-000031,Joshua,Wilson,P,069-18-3719,239.740.7314x44461,Male,1982-03-09,"347 Alex Land Suite 285, Chavezhaven, WV 80847",2022-06-16,Hospital A,43,Adult,False
HOSP_A_HOSP1-000032,Michael,Garcia,V,577-26-7324,219.679.6642x45620,Female,2006-05-24,"944 Theodore Cove, Galvanview, MP 06510",2020-12-04,Hospital A,19,Adult,False
HOSP_A_HOSP1-000033,Rachel,Martinez,Z,375-84-8318,510.877.2860x235,Male,1977-07-22,"45625 Theresa Radial Apt. 563, Cindyton, AR 01029",2020-03-29,Hospital A,48,Adult,False
HOSP_A_HOSP1-000034,Jason,George,I,690-12-1500,728.200.0041x9895,Female,2016-05-22,"068 Fritz Port Suite 849, Robersonside, MO 93180",2023-05-23,Hospital A,9,Child,True
HOSP_A_HOSP1-000035,Andrea,Nelson,C,512-97-8396,(627)767-3502x488,Male,1959-06-18,"823 Cameron Road Suite 014, Lake Oscar, AK 47170",2023-12-18,Hospital A,66,Senior,False
HOSP_A_HOSP1-000036,Jesse,Davis,B,684-53-9768,001-385-781-3704,Female,1968-05-27,"757 Miller Mall Suite 998, New Misty, OR 57127",2024-09-22,Hospital A,57,Adult,False
HOSP_A_HOSP1-000037,Jennifer,Potts,L,629-71-4804,(366)437-5877x0218,Male,1970-03-11,"USCGC Pollard, FPO AA 73455",2024-01-09,Hospital A,55,Adult,False
HOSP_A_HOSP1-000038,Anna,Figueroa,J,113-78-4622,284-327-4788x11404,Female,2000-04-19,"683 Dixon Forest Suite 645, Nathanport, OH 44303",2020-10-20,Hospital A,25,Adult,False
HOSP_A_HOSP1-000039,Mike,Salazar,L,264-66-3904,576.465.4066,Female,2020-05-19,"USS Rivera, FPO AE 44935",2022-01-04,Hospital A,5,Child,True
HOSP_A_HOSP1-000040,Tracy,Petty,A,350-22-5791,001-290-690-1803x38459,Male,1979-07-20,"96875 James Port Suite 164, Mahoneymouth, ID 95652",2021-08-11,Hospital A,46,Adult,False
HOSP_A_HOSP1-000041,Summer,King,V,400-95-6325,521.963.6551,Female,1964-12-23,"66738 Mclaughlin Neck Suite 030, New Aaron, MD 29822",2022-01-04,Hospital A,60,Senior,False
HOSP_A_HOSP1-000042,Deborah,Delgado,C,767-04-0293,+1-446-896-5714x7350,Male,1966-07-09,"40618 Erickson Curve, Brianberg, OH 62504",2022-04-27,Hospital A,59,Adult,False
HOSP_A_HOSP1-000043,Julia,Holloway,P,442-35-1341,273-309-1013x0732,Male,1926-03-25,"474 Gina Trafficway Suite 127, Lake Jacqueline, MI 93057",2020-02-04,Hospital A,99,Senior,False
HOSP_A_HOSP1-000044,Mary,Delacruz,V,514-75-7202,3269754277,Female,1952-10-20,"17190 Megan Gateway, South Adam, VA 23932",2023-01-20,Hospital A,72,Senior,False
