ProviderID,FirstName,LastName,Specialization,DeptID,NPI,HospitalName
H1-PROV0001,Brandon,Harper,Oncology,DEPT018,3086631719,Hospital A
H1-PROV0002,Luke,Clark,Emergency Medicine,DEPT006,1265568618,Hospital A
H1-PROV0003,Brandon,Austin,Pediatrics,DEPT014,3152052791,Hospital A
H1-PROV0004,Anthony,Jones,Radiology,DEPT011,8195895822,Hospital A
H1-PROV0005,Courtney,Flores,Anesthesiology,DEPT009,4159583915,Hospital A
H1-PROV0006,Ricky,Johnson,Neurology,DEPT017,7386802836,Hospital A
H1-PROV0007,John,Carroll,Neurology,DEPT014,9500252998,Hospital A
H1-PROV0008,William,Stout,Emergency Medicine,DEPT005,3263108127,Hospital A
H1-PROV0009,Kelly,Cardenas,Neurology,DEPT005,971099357,Hospital A
H1-PROV0010,Dawn,Valdez,Psychiatry,DEPT008,8973799839,Hospital A
H1-PROV0011,Jennifer,Mcdonald,Emergency Medicine,DEPT002,3939322372,Hospital A
H1-PROV0012,Jennifer,Booth,Dermatology,DEPT004,3794188322,Hospital A
H1-PROV0013,Andrew,Reed,Pediatrics,DEPT006,5744228048,Hospital A
H1-PROV0014,Anthony,Edwards,Orthopedics,DEPT020,9041033020,Hospital A
H1-PROV0015,Harold,Avila,General Surgery,DEPT002,7383729324,Hospital A
H1-PROV0016,Stephanie,Bridges,Psychiatry,DEPT020,7216378001,Hospital A
H1-PROV0017,Frank,Jordan,Neurology,DEPT005,6851568158,Hospital A
H1-PROV0018,Adrian,Butler,Emergency Medicine,DEPT010,5971052640,Hospital A
H1-PROV0019,Adrian,Bates,Emergency Medicine,DEPT010,4170579628,Hospital A
H1-PROV0020,Steven,Norris,Psychiatry,DEPT007,7463053156,Hospital A
H1-PROV0021,Elizabeth,Palmer,Pediatrics,DEPT016,4117507956,Hospital A
H1-PROV0022,Danielle,Morris,Oncology,DEPT014,8416170674,Hospital A
H1-PROV0023,Amanda,Johnson,Neurology,DEPT018,852786459,Hospital A
H1-PROV0024,Michael,Rios,Dermatology,DEPT005,1080067352,Hospital A
H1-PROV0025,Lisa,Schmitt,Radiology,DEPT003,8707948901,Hospital A
H2-PROV0001,Wanda,Ramos,Pediatrics,DEPT003,9903342850,Hospital B
H2-PROV0002,Steven,Roach,Radiology,DEPT010,3653586329,Hospital B
H2-PROV0003,Amber,Martin,Emergency Medicine,DEPT002,6917277775,Hospital B
H2-PROV0004,Ryan,Thompson,Oncology,DEPT007,5911746015,Hospital B
H2-PROV0005,Michael,Gould,Neurology,DEPT018,5155973871,Hospital B
H2-PROV0006,Austin,Fisher,Radiology,DEPT020,6938681303,Hospital B
H2-PROV0007,Jack,Orozco,Cardiology,DEPT002,5919610313,Hospital B
H2-PROV0008,Ryan,Nielsen,Radiology,DEPT006,779165968,Hospital B
H2-PROV0009,Becky,Scott,Emergency Medicine,DEPT001,4880463675,Hospital B
H2-PROV0010,Francisco,Taylor,Anesthesiology,DEPT017,9778155154,Hospital B
H2-PROV0011,Isaac,Johnson,Anesthesiology,DEPT010,1865482724,Hospital B
H2-PROV0012,Tara,Lopez,Anesthesiology,DEPT010,7337412625,Hospital B
H2-PROV0013,Mikayla,Murphy,Pediatrics,DEPT011,2071097461,Hospital B
H2-PROV0014,Mark,Sanchez,General Surgery,DEPT016,332121350,Hospital B
H2-PROV0015,Jacob,Davis,Neurology,DEPT009,635687890,Hospital B
H2-PROV0016,Sara,Hutchinson,Emergency Medicine,DEPT014,2873366247,Hospital B
H2-PROV0017,Jason,Novak,Dermatology,DEPT002,7333373057,Hospital B
H2-PROV0018,Heather,Beasley,Anesthesiology,DEPT008,5355900325,Hospital B
H2-PROV0019,Wendy,Fisher,Anesthesiology,DEPT004,89308414,Hospital B
H2-PROV0020,Veronica,Myers,Pediatrics,DEPT005,8319154772,Hospital B
H2-PROV0021,Janet,Moody,Psychiatry,DEPT003,5424799523,Hospital B
H2-PROV0022,Jeffrey,Cummings,Dermatology,DEPT003,5004296124,Hospital B
H2-PROV0023,Angel,Stewart,Psychiatry,DEPT013,6068089514,Hospital B
H2-PROV0024,Jorge,Richmond,General Surgery,DEPT013,1928310163,Hospital B
H2-PROV0025,Joseph,Wilson,Dermatology,DEPT006,278988197,Hospital B
H2-PROV0026,Patricia,Allen,Dermatology,DEPT020,894720951,Hospital B
H2-PROV0027,Casey,Hughes,Orthopedics,DEPT012,5340793904,Hospital B
H2-PROV0028,Samantha,Hale,Pediatrics,DEPT005,2444270642,Hospital B
H2-PROV0029,Michael,Morales,Radiology,DEPT017,9476115529,Hospital B
H2-PROV0030,Matthew,Paul,Oncology,DEPT020,8300274432,Hospital B
